instance_seed,alpha,arm,tuning_seed,achieved_H,ideal_mass
2,0.03,lbfgs-sv,107,0.4383750884917641,0.06647703797241039
2,0.03,lbfgs-sv,108,0.3785621238428881,0.07977686128232014
2,0.03,lbfgs-sv,109,0.4052835736652215,0.07190651847758212
2,0.03,lbfgs-sv,110,0.5251602477476218,0.04406800501733381
2,0.03,transfer,101,0.40528662402287585,0.07186153415670732
2,0.03,transfer,102,0.40528794989732075,0.07185051906618109
2,0.03,transfer,103,0.40528754552584445,0.07185720964596813
2,0.03,transfer,104,0.4052869193778046,0.07185858965450216
2,0.03,transfer,105,0.405286252324911,0.07185792254098111
2,0.03,transfer,106,0.40797480249635587,0.07000360714862802
2,0.03,transfer,107,0.4052894609089588,0.07184065995417921
2,0.03,transfer,108,0.40529071430890573,0.07183164552662014
2,0.03,transfer,109,0.40528828919767834,0.07184136825809112
2,0.03,transfer,110,0.40529288916218564,0.0718399811580036
3,0.021,cobyla-5,101,0.5933963199544707,0.051689129152800134
3,0.021,cobyla-5,102,0.588328630008172,0.051604535066697106
3,0.021,cobyla-5,103,0.6062554580631445,0.04606250206176737
3,0.021,cobyla-5,104,0.43694442326032734,0.10452231883312221
3,0.021,cobyla-5,105,0.43776595546845987,0.10637202106587616
3,0.021,cobyla-5,106,0.5231706171366595,0.07176744333457458
3,0.021,cobyla-5,107,0.48607207776178085,0.07990024293230893
3,0.021,cobyla-5,108,0.4368679244392134,0.10484987473134513
3,0.021,cobyla-5,109,0.4822652224168563,0.08047417071177483
3,0.021,cobyla-5,110,0.580763400973106,0.05479040615193565
3,0.021,cobyla-25,101,0.43683360520323444,0.1058655956441028
3,0.021,cobyla-25,102,0.4368477184316957,0.10595187593008903
3,0.021,cobyla-25,103,0.4369762270859786,0.10642295029433299
3,0.021,cobyla-25,104,0.43694442326032734,0.10452231883312221
3,0.021,cobyla-25,105,0.43776595546845987,0.10637202106587616
3,0.021,cobyla-25,106,0.43684623108703047,0.10495018149533043
3,0.021,cobyla-25,107,0.4370743973741511,0.1042326239987803
3,0.021,cobyla-25,108,0.4368100384906274,0.10539052302220392
3,0.021,cobyla-25,109,0.43690440479167547,0.10612820130772116
3,0.021,cobyla-25,110,0.43680969773786527,0.10558929884666825
3,0.021,cobyla-50,101,0.43683360520323444,0.1058655956441028
3,0.021,cobyla-50,102,0.4368477184316957,0.10595187593008903
3,0.021,cobyla-50,103,0.43688211674671285,0.10609826258771071
3,0.021,cobyla-50,104,0.4369211029211658,0.10624865753220457
3,0.021,cobyla-50,105,0.4368262953895786,0.10515264801751306
3,0.021,cobyla-50,106,0.4368170471784205,0.10522925063227755
3,0.021,cobyla-50,107,0.4370743973741511,0.1042326239987803
3,0.021,cobyla-50,108,0.4368100384906274,0.10539052302220392
3,0.021,cobyla-50,109,0.43681387251927106,0.10525879078222997
3,0.021,cobyla-50,110,0.43680969773786527,0.10558929884666825
3,0.021,spsa,101,0.8090942237892879,0.02751384106780648
3,0.021,spsa,102,0.8351872591134458,0.02280690705113908
3,0.021,spsa,103,0.5943445313874478,0.05347922069808655
3,0.021,spsa,104,0.7615897866898869,0.026335660333239464
3,0.021,spsa,105,0.5988700273486522,0.048006496567547095
