T,m,seed,reps,dp_cost,qaoa_cost,exact_match,gap_abs,gap_pct,opt_prob_mass,feasibility_rate,qaoa_time_s,dp_time_s,brute_cost,brute_matches_dp,n_starts,shots,uniform_opt_mass,uniform_best_cost,mass_ratio,mass_ratio_is_upper_bound,shots_cover_space
4,14,1,1,-0.17414214371739756,-0.0267868975346867,False,0.14735524618271084,84.61779729887947,0.0,0.058837890625,18.011701044997608,0.00012144499487476423,-0.1741421437173976,True,5,4096,6.103515625e-05,-0.0975644929829848,4.0,True,False
4,14,1,2,-0.17414214371739756,-0.10868262454792654,False,0.06545951916947101,37.58970561181356,0.0,0.085205078125,33.02663912299613,0.00013951199798611924,-0.1741421437173976,True,5,4096,6.103515625e-05,-0.0975644929829848,4.0,True,False
4,14,1,3,-0.17414214371739756,-0.1741421437173976,True,-5.551115123125783e-17,-3.1876919650962136e-14,0.000244140625,0.085205078125,36.222318249994714,0.00018111099780071527,-0.1741421437173976,True,5,4096,6.103515625e-05,-0.0975644929829848,4.0,False,False
4,14,2,1,-0.16633607772046605,-0.05863214370027707,False,0.10770393402018898,64.75079579620089,0.0,0.064208984375,18.96033120899665,0.00011339799675624818,-0.1663360777204661,True,5,4096,6.103515625e-05,-0.12698036409471591,4.0,True,False
4,14,2,2,-0.16633607772046605,-0.05863214370027707,False,0.10770393402018898,64.75079579620089,0.0,0.051513671875,26.344864409002184,0.0001497229968663305,-0.1663360777204661,True,5,4096,6.103515625e-05,-0.12698036409471591,4.0,True,False
4,14,2,3,-0.16633607772046605,-0.1602683472865276,False,0.006067730433938434,3.647873941175576,0.0,0.06494140625,27.853055397004937,0.0001381920010317117,-0.1663360777204661,True,5,4096,6.103515625e-05,-0.12698036409471591,4.0,True,False
5,18,0,1,-0.14775608040467883,-0.08790836210836274,False,0.05984771829631609,40.50440302179331,0.0,0.02783203125,19.67117447300552,0.00010968599963234738,-0.1477560804046788,True,5,4096,3.814697265625e-06,-0.05810188495023625,64.0,True,False
5,18,0,2,-0.14775608040467883,0.04363963994038397,False,0.1913957203450628,129.53491986310303,0.0,0.024169921875,53.51235091799754,0.00014148499758448452,-0.1477560804046788,True,5,4096,3.814697265625e-06,-0.05810188495023625,64.0,True,False
5,18,0,3,-0.14775608040467883,0.17518764198913067,False,0.32294372239380953,218.56543670441275,0.0,0.019775390625,87.2299323719999,0.00022028599778423086,-0.1477560804046788,True,5,4096,3.814697265625e-06,-0.05810188495023625,64.0,True,False
5,18,1,1,0.012097235542720491,0.162582244741145,False,0.1504850091984245,1243.9619669055614,0.0,0.030029296875,24.73017830900062,0.00015494100080104545,0.012097235542720533,True,5,4096,3.814697265625e-06,0.08729438167290178,64.0,True,False
5,18,1,2,0.012097235542720491,0.09374569620039966,False,nan,nan,0.0,0.02197265625,58.062131079997926,0.00013838100130669773,0.012097235542720533,True,5,4096,3.814697265625e-06,0.08729438167290178,64.0,True,False
5,18,1,3,0.012097235542720491,0.162582244741145,False,0.1504850091984245,1243.9619669055614,0.0,0.026123046875,89.24597317800362,0.00016055999731179327,0.012097235542720533,True,5,4096,3.814697265625e-06,0.08729438167290178,64.0,True,False
5,18,2,1,-0.004623761745950694,0.17866488719541496,False,0.18328864894136565,3964.0591148945455,0.0,0.025146484375,54.277326926996466,0.00014654000551672652,-0.00462376174595068,True,5,4096,3.814697265625e-06,0.0847333425708688,64.0,True,False
5,18,2,2,-0.004623761745950694,0.14128654280745634,False,0.14591030455340703,3155.662263117027,0.0,0.051513671875,65.8436117339952,0.00020946099539287388,-0.00462376174595068,True,5,4096,3.814697265625e-06,0.0847333425708688,64.0,True,False
5,18,2,3,-0.004623761745950694,0.15073130261266904,False,0.15535506435861973,3359.927974114875,0.0,0.0205078125,110.11880449999444,0.00014157300029182807,-0.00462376174595068,True,5,4096,3.814697265625e-06,0.0847333425708688,64.0,True,False
6,22,0,1,-0.08572566226295814,-0.02088457678987568,False,nan,nan,0.0,0.010986328125,589.1843670579983,0.00023746499937260523,nan,,5,4096,nan,nan,nan,False,False
6,22,0,2,-0.08572566226295814,0.1309978390542299,False,nan,nan,0.0,0.01416015625,1296.960234555001,0.0002180660012527369,nan,,5,4096,nan,nan,nan,False,False
6,22,0,3,-0.08572566226295814,0.1309978390542299,False,0.21672350131718804,252.81053023819422,0.0,0.016357421875,1700.7767356729964,0.0002567189949331805,nan,,5,4096,nan,nan,nan,False,False
6,22,1,1,0.015262365917313447,0.4019270096497728,False,nan,nan,0.0,0.012451171875,760.5786014070036,0.000249901000643149,nan,,5,4096,nan,nan,nan,False,False
6,22,1,2,0.015262365917313447,0.35329260154744,False,0.3380302356301266,2214.795775841471,0.0,0.012939453125,887.3619716300018,0.00016217200027313083,nan,,5,4096,nan,nan,nan,False,False
6,22,1,3,0.015262365917313447,0.16414545266368982,False,0.14888308674637638,975.4915296421059,0.0,0.013427734375,2516.141828192005,0.0002369819994783029,nan,,5,4096,nan,nan,nan,False,False
6,22,2,1,0.006829859585182285,0.860446942128181,False,nan,nan,0.0,0.0126953125,702.7522220899991,0.00024248800036730245,nan,,5,4096,nan,nan,nan,False,False
6,22,2,2,0.006829859585182285,0.4704608257252095,False,0.4636309661400272,6788.294259312405,0.0,0.01123046875,1529.1959993749988,0.0002428539955872111,nan,,5,4096,nan,nan,nan,False,False
6,22,2,3,0.006829859585182285,0.3659627987682846,False,0.3591329391831023,5258.277050999098,0.0,0.038818359375,1984.5563096139958,0.0002424019985483028,nan,,5,4096,nan,nan,nan,False,False
